,inn,year,long_term_liabilities_fiscal_year,short_term_liabilities_fiscal_year,balance_assets_fiscal_year,okei
0,2465002653,2012,0.0,113756.0,122240.0,384
1,3505003270,2012,21461.0,20211.0,81132.0,384
2,3517003250,2012,0.0,0.0,48063.0,384
3,5501078737,2012,0.0,288763.0,419522.0,384
4,6140019517,2012,0.0,0.0,11089.0,384
5,6105002983,2012,0.0,0.0,7489.0,384
6,1701050442,2012,0.0,976.0,7794.0,384
7,5402511357,2012,0.0,0.0,47557.0,384
8,2107004611,2012,0.0,0.0,3468.0,384
9,5009033730,2012,1992651.0,830163.0,3884450.0,384
10,6454050638,2012,0.0,0.0,211801.0,384
11,5404283138,2012,0.0,0.0,91564.0,384
12,1656033107,2012,0.0,0.0,11508.0,384
13,5406339932,2012,2791.0,289333.0,287226.0,384
14,7415064205,2012,0.0,0.0,2245.0,384
15,7326037640,2012,0.0,0.0,34731.0,384
16,6900000290,2012,24451.0,118345.0,262586.0,384
17,2256002057,2012,0.0,0.0,6626.0,384
18,2347009476,2012,125.0,85463.0,85948.0,384
19,3726003720,2012,0.0,0.0,4356.0,384
20,4029028408,2012,0.0,0.0,120.0,384
21,2226001190,2012,2352.0,153395.0,227156.0,384
22,3250519362,2012,0.0,0.0,137346.0,384
23,7703065332,2012,0.0,0.0,87425.0,384
24,3321004436,2012,0.0,39877.0,13339.0,384
25,2629005857,2012,0.0,19565.0,30117.0,384
26,2611005373,2012,0.0,14167.0,15344.0,384
27,3525092769,2012,93390.0,426144.0,703496.0,384
28,8909000186,2012,0.0,0.0,26721.0,384
29,2346012846,2012,0.0,0.0,18288.0,384
30,8908001998,2012,0.0,7668.0,17507.0,384
31,1411004211,2012,0.0,0.0,167857.0,384
32,7701651532,2012,4.0,384807.0,289756.0,384
33,7727656060,2012,0.0,0.0,4054.0,384
34,7730565969,2012,0.0,171170.0,298590.0,384
35,7006005167,2012,0.0,8208.0,22349.0,384
36,2719008034,2012,0.0,20572.0,4965.0,384
37,2508012923,2012,100257.0,186219.0,486660.0,384
38,2814002385,2012,0.0,219.0,395.0,384
39,7842353970,2012,7.0,7577.0,23276.0,384
40,5045021088,2012,0.0,0.0,1597.0,384
41,6426003812,2012,0.0,0.0,7168.0,384
42,7104008631,2012,0.0,0.0,22934.0,384
43,7708570018,2012,0.0,65542.0,180930.0,384
44,5012012970,2012,0.0,1591.0,762.0,384
45,6732030100,2012,0.0,0.0,114350.0,384
46,7725239857,2012,0.0,0.0,1555650.0,384
47,2111000271,2012,0.0,0.0,6122.0,384
48,5945001214,2012,0.0,0.0,24394.0,384
49,6102001565,2012,0.0,3435.0,8140.0,384
50,6727003132,2012,0.0,0.0,35611.0,384
51,7722651420,2012,80.0,409695.0,408655.0,384
52,7617000557,2012,0.0,0.0,5313.0,384
53,5437101295,2012,0.0,0.0,10866.0,384
54,3628000833,2012,0.0,0.0,60993.0,384
55,2104000168,2012,8024.0,48.0,79697.0,384
56,4813000036,2012,2445.0,20708.0,40774.0,384
57,5504002704,2012,0.0,12462.0,14977.0,384
58,5019015634,2012,0.0,137931.0,441110.0,384
59,7701038326,2012,0.0,0.0,12528.0,384
60,6725005494,2012,104662.0,777182.0,1210091.0,384
61,7701223216,2012,0.0,0.0,5468.0,384
62,7736609147,2012,0.0,75255.0,85541.0,384
63,5530000076,2012,11898.0,89686.0,195505.0,384
64,7224008489,2012,4066.0,32947.0,189405.0,384
65,6636002484,2012,0.0,3523.0,4296.0,384
66,3612007110,2012,538.0,16645.0,17546.0,384
67,5620006322,2012,5947.0,12606.0,69551.0,384
68,7725029923,2012,1818.0,133767.0,190578.0,384
69,6012000239,2012,0.0,0.0,4671.0,384
70,2318010808,2012,70.0,5529.0,15237.0,384
71,2536163593,2012,11445.0,544.0,41879.0,384
72,7814290213,2012,0.0,0.0,46356.0,384
73,4703105501,2012,0.0,0.0,193.0,384
74,4712040346,2012,0.0,93438.0,99968.0,384
75,3503004631,2012,0.0,2246.0,6134.0,384
76,6320008472,2012,0.0,20796.0,11548.0,384
77,5230002690,2012,0.0,0.0,37681.0,384
78,3212001450,2012,40124.0,10753.0,102910.0,384
79,3217002312,2012,0.0,0.0,12619.0,384
80,3525119121,2012,2024.0,149917.0,906320.0,384
81,4321000070,2012,0.0,0.0,53914.0,384
82,7714149601,2012,142362.0,120315.0,260746.0,384
83,6105007117,2012,0.0,0.0,4416.0,384
